Geneid	D35Ctrl_222_Aligned	D35Ctrl_322_Aligned	D35Ctrl_323_Aligned	D35GAF7_322_Aligned	D35GAF7_323_Aligned	D35GAG5_222_Aligned	D35GAG5_322_Aligned	D35GAG5_323_Aligned	D35RCD5_222_Aligned	D35RCD5_322_Aligned	D35RCD5_323_Aligned	D35RCG3_222_Aligned	D35RCG3_322_Aligned	D35RCG3_323_Aligned	D65Ctrl_1123_Aligned	D65Ctrl_222_Aligned	D65Ctrl_423_Aligned	D65GAF7_222_Aligned	D65GAF7_423_Aligned	D65GAG5_423_Aligned	D65GA_1123_Aligned	D65RCD5_423_Aligned	D65RCG3_222_Aligned	D65RCG3_423_Aligned	D65RC_1123_Aligned
STAM2	730	857	902	909	931	736	931	786	603	936	713	1031	1150	898	833	904	1001	1494	722	787	739	952	881	972	872
LOC105373689	9	5	7	4	9	4	4	5	1	5	1	8	6	7	26	5	19	2	7	10	7	12	1	17	12
LOC105373688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMNL2	3008	3983	3871	3394	4404	2333	4567	4377	2535	4301	3623	2048	4785	4542	4343	4178	5019	6285	5734	6812	3952	5689	2109	7982	6419
PRPF40A	4728	4818	4096	4133	4382	4710	4959	4563	5053	3812	3788	5755	4939	4204	3745	3364	5076	5753	3662	3647	3885	4391	3275	4968	3743
ARL6IP6	1663	2081	1839	1237	1518	1267	1334	1798	1896	1145	1498	1240	1347	1608	1078	1016	1164	1737	1071	690	613	1272	800	1191	1513
LOC105373691	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	9	7	0	2	0	9	26
GALNT13	206	559	747	259	430	309	202	627	282	119	313	600	514	290	870	271	1461	282	1265	2588	971	944	422	1868	1245
LOC124900522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPRM	94	212	128	92	155	88	212	207	36	356	219	472	382	173	300	86	476	101	452	278	272	254	198	1047	637
GALNT13-AS1	0	3	6	4	15	3	10	4	0	7	13	3	8	4	28	2	73	2	43	64	55	34	1	65	13
LOC105373694	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105373693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ3	3	144	276	11	56	3	19	73	8	25	77	138	47	61	227	34	617	9	168	330	84	277	37	464	299
LOC105373696	0	5	6	1	7	0	0	5	0	0	2	1	0	5	0	0	5	0	2	6	3	0	0	0	4
LOC107985952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124908060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124908061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105373699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985953	2	1	0	0	0	0	0	7	0	0	2	2	4	4	21	0	8	0	22	10	4	25	0	37	13
LOC107985828	0	0	0	1	0	0	0	1	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373703	0	1	0	1	3	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	1
LINC01876	6	7	17	13	29	4	22	35	15	31	14	5	67	23	36	6	31	27	26	19	3	14	5	19	16
NR4A2	28	395	338	382	460	40	749	1062	29	806	684	42	391	1007	950	41	2733	27	1470	2385	541	1150	22	3551	1428
FLJ46875	76	334	286	366	496	78	550	683	74	435	502	130	285	578	507	83	831	159	532	810	346	527	88	979	502
LOC124906082	4	10	15	81	165	7	192	119	6	251	145	4	38	94	201	2	191	20	126	145	131	221	3	218	13
GPD2	990	752	928	1094	1199	1114	1369	1265	1463	1195	989	1586	1242	1008	345	390	472	788	309	589	208	735	648	611	201
TRA-CGC3-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRG-GCC2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124906173	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
LOC124906170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373707	1	0	2	0	1	2	0	0	1	0	0	1	0	1	1	0	1	2	0	0	0	2	0	0	0
LINC01958	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124907897	0	3	0	0	0	0	1	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	2	0
LOC105373710	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
LOC105373709	0	5	4	1	1	0	5	10	0	0	2	1	0	2	0	2	1	0	1	3	0	2	2	3	1
GALNT5	8	110	16	867	106	22	219	366	7	173	171	27	669	1095	92	32	16	87	47	93	110	112	124	88	52
ERMN	8	18	3	48	31	1	28	25	13	13	26	6	100	35	28	3	15	8	17	8	9	19	4	34	8
FAM133DP	10	12	14	1	10	5	3	5	11	4	12	18	10	6	8	8	8	15	5	4	11	6	5	11	9
CYTIP	3	0	5	0	0	2	0	0	0	2	2	122	1	0	3	0	12	1	24	19	1	4	9	34	36
LOC105373712	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1C	8	23	30	64	42	9	60	51	9	48	38	20	48	47	254	3	84	6	164	215	274	203	10	437	84
LOC124907898	0	3	2	4	0	3	3	1	3	1	3	4	7	1	5	5	3	2	5	4	1	3	3	4	3
ACVR1	402	548	447	802	543	586	567	472	327	799	409	1172	1222	670	2028	481	1134	1001	1006	1272	1525	1578	1272	1806	1352
LOC124907899	3	5	4	3	3	7	4	5	2	13	2	14	8	0	21	5	8	8	6	20	17	25	3	19	21
LOC105373714	9	13	21	24	15	3	16	11	3	5	9	4	24	17	34	12	27	4	30	33	14	32	6	41	23
UPP2	5	35	27	41	65	3	41	53	1	33	44	3	23	57	77	25	185	19	162	144	73	99	2	249	33
CCDC148-AS1	2	4	0	6	5	2	0	1	0	3	0	0	3	6	1	0	3	2	1	6	1	2	0	1	5
CCDC148	84	72	55	173	94	70	80	90	96	62	80	92	90	127	87	58	60	121	100	82	49	83	24	113	52
PKP4	2783	2293	2107	2188	1667	2790	1537	2194	3416	1748	1659	4100	2508	2072	2094	1829	2392	2716	2065	2263	1427	2345	1954	2899	2032
LOC124907900	5	1	0	7	1	20	1	0	9	6	5	30	7	3	2	4	11	4	2	14	19	18	3	6	1
LOC105373715	20	9	9	11	6	31	7	9	15	6	3	22	17	4	9	6	5	16	9	18	16	17	6	14	14
PKP4-AS1	45	20	35	62	65	51	50	48	53	84	56	48	39	50	75	44	102	69	66	55	56	70	34	82	31
DAPL1	7	7	4	6	3	11	2	1	0	3	4	117	2	2	1	3	5	39	0	0	0	0	139	1	0
LOC124907901	1	1	4	0	3	12	1	0	2	0	0	15	8	0	2	5	0	35	0	0	0	0	35	0	0
TANC1	1142	1267	918	2946	1729	1787	1569	1691	972	1693	1350	3613	4664	2975	933	2671	1427	3247	1070	838	1044	1748	2186	1982	887
MIR6888	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC105373716	35	46	67	139	143	45	108	114	18	120	104	63	140	156	193	82	205	112	177	144	156	185	56	260	120
WDSUB1	155	223	231	341	276	152	232	260	169	268	264	270	300	344	405	213	459	298	321	373	391	467	171	540	298
BAZ2B	2017	3079	3643	2384	3479	1600	3230	3271	1573	2419	2580	1757	2886	2933	1480	2510	2591	4215	1798	1519	1452	2202	1402	2315	2372
BAZ2B-AS1	29	26	29	87	44	21	57	36	20	58	53	21	53	70	12	33	22	34	22	15	10	22	29	18	20
MARCHF7	2202	3116	2861	3646	3467	2315	3555	3497	2179	3149	2905	2693	3695	3737	2879	2323	4363	3701	2932	2942	2799	3388	2064	4143	2898
LY75-CD302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD302	0	0	0	3	0	0	1	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0
LOC124906083	8	6	7	13	10	10	21	10	18	12	6	17	14	18	34	13	40	21	13	19	23	22	12	22	5
LY75	1	4	5	41	4	6	13	11	5	30	11	11	9	20	10	1	5	2	2	4	12	7	3	5	3
PLA2R1	27	54	22	186	51	135	45	31	25	99	61	424	923	70	20	202	16	376	21	33	9	51	638	30	8
LOC105373717	0	0	0	0	1	1	1	0	0	2	0	0	4	0	0	0	0	0	0	0	1	3	0	0	0
ITGB6	1	13	3	3	0	17	0	2	0	12	0	9	177	0	0	19	0	74	1	4	3	4	59	1	0
LINC02478	0	0	0	1	1	2	2	3	0	5	1	5	3	1	2	1	1	1	0	1	2	6	5	1	0
RBMS1	1579	451	207	2775	609	3244	939	565	2512	1792	612	5674	5234	1613	478	1266	195	3004	196	185	459	562	4044	514	278
MIR4785	13	3	3	40	9	60	8	8	39	23	8	151	73	15	7	20	2	49	9	0	2	1	84	3	5
LOC105373718	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124907902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TANK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TANK	460	589	663	615	594	461	647	631	373	533	499	585	780	619	917	682	1132	1041	855	1198	800	1085	596	1509	1063
PSMD14-DT	4	1	0	0	6	2	4	6	1	4	1	0	1	0	2	5	3	1	7	8	3	7	0	6	2
LINC01806	1	2	3	6	1	3	2	1	0	6	0	2	4	2	2	3	1	1	0	4	0	0	0	5	0
PSMD14	2732	2699	2242	1729	1824	2533	1514	1977	2614	1015	1626	3080	2374	1999	1205	1872	1552	2462	1448	1344	1046	1346	1660	1883	2222
TBR1	1868	5887	6237	3905	5956	233	5696	5551	148	2480	4515	34	2338	5366	8345	2467	7983	115	6152	12677	6464	5810	16	8756	8720
AHCTF1P1	33	23	21	22	13	31	26	16	19	21	18	34	29	25	24	19	31	26	28	30	17	30	11	40	20
LOC124906148	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
SLC4A10	65	1648	2286	1016	827	21	516	1202	13	146	641	9	940	1558	1472	665	4019	395	2532	4039	2579	2870	18	4036	3267
LOC105373722	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	1	6	1	1	0	3	2	0	3	0
DPP4	15	33	63	17	11	8	13	30	31	10	9	14	239	26	81	7	48	8	65	106	24	79	12	93	99
DPP4-DT	0	0	1	0	2	1	0	0	0	0	0	2	4	0	0	0	0	1	0	1	0	0	0	3	0
LOC101929532	0	0	0	0	0	0	3	2	1	3	4	0	9	2	0	0	0	2	0	0	0	0	4	0	2
GCG	1	11	3	1	1	1	1	2	0	1	1	3	0	0	0	0	0	1	1	0	0	1	2	1	3
FAP	5	21	24	81	69	8	137	46	25	99	122	14	785	160	11	5	8	24	9	3	3	29	49	8	13
LOC105373724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	1	0	0
IFIH1	4	6	11	11	12	10	3	13	9	10	8	40	20	10	141	23	30	39	24	20	17	40	73	49	23
GCA	422	822	952	772	1122	282	951	1137	341	954	1072	775	659	936	1440	408	2382	537	1749	1943	1354	1735	329	2388	1469
KCNH7	24	211	324	43	166	15	113	267	8	50	121	55	74	162	542	37	970	15	766	1177	804	759	9	1211	542
LOC124906084	0	0	4	0	0	0	0	0	0	0	2	4	2	0	2	0	7	1	5	14	7	8	1	4	5
KCNH7-AS1	4	5	3	0	0	0	2	1	0	2	1	3	1	1	8	1	0	0	7	7	2	3	0	6	12
LOC105373727	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985829	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0
LOC105373728	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
FIGN	2341	1255	1200	1588	2451	1313	1978	1487	1621	1698	1703	2428	1553	1596	144	1996	860	1628	288	213	108	495	1086	218	114
LOC107985957	225	172	100	143	180	293	163	134	183	125	112	329	225	125	11	210	56	197	19	30	12	39	103	14	19
GRB14	213	158	134	410	371	95	225	390	65	171	198	35	271	569	281	277	452	208	307	346	541	404	18	550	196
COBLL1	370	193	123	984	194	754	170	249	348	202	304	600	1507	1486	268	296	187	1218	214	83	198	232	328	317	148
SNORA70F	3	0	0	1	1	4	5	0	0	1	1	2	3	3	2	1	0	3	3	1	0	0	2	2	0
LOC101929633	0	0	2	3	2	1	2	0	0	0	2	0	0	1	2	0	1	1	0	1	0	1	1	1	1
SLC38A11	0	11	21	10	1	10	2	1	0	3	2	4	38	14	25	1	9	1	3	1	0	0	0	1	0
SCN3A	957	2513	3721	1234	2709	353	2261	2026	192	684	1539	38	968	1348	1450	1978	2026	2707	1698	2228	1532	1847	105	2662	1617
SCN2A	134	1203	1880	434	800	87	766	936	14	156	579	172	389	521	2021	1232	2040	1091	2048	2999	2399	2054	236	3253	2246
CSRNP3	1260	3169	3732	1877	3600	1475	3409	2964	772	1501	2518	412	1516	1984	3506	2344	4369	3858	3242	5041	2964	3287	533	5898	4249
LOC124906085	0	1	3	2	5	3	1	2	1	5	0	0	1	2	3	1	0	2	2	5	4	6	0	3	3
GALNT3	14	18	32	35	22	17	53	19	4	22	13	70	52	33	33	8	21	51	19	8	10	14	101	52	15
LOC124906086	1	2	1	2	2	3	2	0	0	0	4	6	5	0	0	2	4	13	8	0	3	1	4	0	0
LOC100506124	42	50	73	43	84	43	122	67	41	75	92	42	99	75	102	56	119	137	90	89	87	106	40	155	67
TTC21B	884	1059	1227	1034	1378	891	1547	1317	772	1105	1220	922	1189	1300	1356	829	1725	1673	1222	1213	1295	1485	613	1679	1034
TTC21B-AS1	9	2	10	2	5	3	3	3	3	1	3	6	13	3	0	4	5	8	11	4	5	4	7	5	6
LOC102724058	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0
SCN1A	9	186	563	132	171	26	181	178	12	38	113	5	87	132	103	318	435	819	150	91	81	79	18	351	106
SCN1A-AS1	0	1	0	0	3	2	7	0	0	0	1	0	2	1	5	1	3	5	5	1	3	2	0	8	0
SCN9A	218	236	421	187	282	52	301	227	58	77	151	54	709	136	100	602	82	655	153	83	70	191	143	236	168
LOC124906181	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN7A	10	17	25	5	1	4	2	5	9	0	4	5	159	6	0	18	4	23	2	2	0	1	5	1	5
LOC124906087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985958	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
XIRP2	1	1	2	17	1	0	4	3	3	9	0	7	2	1	0	2	0	0	1	0	0	0	4	3	0
XIRP2-AS1	3	0	0	1	0	0	0	1	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0
B3GALT1	113	470	433	1718	219	267	398	425	85	385	240	604	563	388	203	346	352	502	216	279	173	301	645	375	392
B3GALT1-AS1	3	0	7	9	1	5	2	4	2	1	0	12	1	5	4	7	5	8	1	6	3	4	7	4	3
LOC124907903	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	1	1	0	1	1
STK39	1241	2424	1918	3782	2864	1308	2900	2299	1205	2189	1965	1401	2161	3029	1238	1174	2141	2400	1418	1330	871	1741	1124	1475	1239
LOC124906088	0	2	0	4	3	1	1	0	0	1	3	1	2	3	2	2	3	4	0	4	1	0	1	0	3
LOC107985959	0	3	2	1	2	2	3	2	0	0	1	0	5	4	0	2	1	2	1	0	2	0	6	3	0
LOC105373734	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	3	1	0	4	0	4	0	0	0
LOC102724081	28	48	28	16	19	43	24	22	17	13	14	17	30	14	46	22	57	32	37	67	34	33	10	56	88
CERS6	1523	2477	2367	2064	1577	1225	1396	1904	1144	1144	1305	1495	1955	1664	2605	1439	3086	2042	2167	2428	1692	2673	870	3360	2706
MIR4774	2	0	1	0	0	1	1	0	0	0	1	0	1	0	2	1	2	5	0	2	0	1	0	0	1
CERS6-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	2	0
NOSTRIN	13	23	33	12	23	12	15	29	19	8	15	6	17	22	1	4	21	15	13	7	6	20	4	12	20
SPC25	159	189	185	41	64	112	30	129	162	37	87	102	68	118	21	51	81	58	51	33	11	47	25	29	115
LOC124907904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6PC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	2	1	1	1	12	0	2	0	1	2	150	0	2	1	2	6	0	1	1	0	4	55	1	1
DHRS9	0	0	0	0	0	6	0	0	0	0	0	5	4	0	0	0	0	2	0	0	0	2	21	0	0
LRP2	15385	578	287	1924	2159	4691	2287	780	8792	3553	1215	2112	2870	1247	102	4220	203	3876	186	72	48	479	2351	200	8
BBS5	710	708	511	1671	949	711	926	825	743	1377	859	454	1089	1362	476	601	678	998	575	498	564	697	379	743	451
KLHL41	20	39	58	30	25	7	13	38	20	9	17	16	40	41	28	17	45	37	26	38	34	31	29	42	43
FASTKD1	515	561	671	408	589	516	479	669	487	311	512	646	696	668	760	481	854	1094	713	780	607	822	538	1066	827
PPIG	2444	2640	2470	2376	2200	2060	2449	2463	2339	1920	1948	2737	2505	2271	2175	1591	2790	2625	2177	2200	2498	2735	1274	3045	2168
CFAP210	137	101	74	335	170	78	201	131	134	313	117	28	214	279	20	45	44	105	43	24	29	35	20	48	50
PHOSPHO2-KLHL23	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
PHOSPHO2	87	145	166	81	81	71	65	130	82	66	74	96	125	126	38	99	56	126	61	63	31	52	82	67	91
LOC124906089	211	383	447	178	260	141	155	366	195	132	226	112	248	300	89	239	148	331	152	122	104	120	138	184	389
LOC124900531	0	1	0	0	6	0	3	0	0	0	2	0	1	1	1	0	5	0	3	2	1	4	2	2	1
KLHL23	131	205	169	81	128	81	114	146	134	80	117	75	84	109	94	70	116	105	118	101	49	132	22	149	111
LOC124907905	6	7	14	11	11	4	17	15	0	11	11	3	12	10	21	8	21	6	17	18	9	18	1	16	19
SSB	4459	3081	2828	2826	2181	4414	2053	2880	4454	1710	2113	4726	3438	2745	1565	2739	2145	4670	1851	1547	1624	2062	2831	2393	2389
METTL5	575	581	461	451	519	591	444	547	655	385	415	576	605	508	759	460	675	796	580	636	524	654	532	861	578
SNORD3K	11	8	12	7	23	10	20	11	8	19	24	6	11	17	32	9	19	26	14	7	42	18	3	18	22
UBR3	1679	2659	2564	1963	2531	1653	2592	2511	1399	1800	1991	1918	2274	2267	2668	1781	4016	2944	2489	3140	3114	3029	1457	3689	2482
MYO3B	2	3	4	35	2	0	7	2	6	24	7	2	15	11	4	9	4	14	2	5	5	8	3	4	0
LOC124906090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO3B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
LOC100130256	6	7	11	18	16	14	23	19	22	7	12	3	27	23	8	18	2	18	3	4	2	5	0	5	5
ERICH2-DT	2	6	3	19	7	0	6	8	3	14	8	1	14	12	4	1	5	5	2	4	5	3	0	1	0
LINC01124	0	6	0	6	1	0	1	1	20	0	2	0	14	2	0	1	1	5	0	1	1	2	0	0	0
SP5	37	298	92	241	310	106	145	353	796	50	206	8	532	465	38	30	8	116	17	5	17	19	8	19	19
ERICH2	34	79	54	229	100	40	78	104	57	89	72	11	172	154	65	43	57	63	92	57	57	75	8	109	56
GAD1	204	228	470	300	391	55	667	199	70	206	172	67	274	156	166	872	238	642	369	130	110	131	82	338	151
GORASP2	2824	3102	2359	3014	2112	2931	2617	2078	3182	3218	1747	3779	3510	2351	3087	2346	2062	3766	1806	1811	2269	2698	2962	2693	1940
LOC124906091	10	9	8	4	3	8	5	1	5	8	5	4	6	7	5	3	7	6	4	2	3	10	4	8	8
TLK1	1527	2024	1711	1538	1739	1322	1605	1872	1566	1371	1533	1488	2014	1991	1279	1037	2216	1874	1708	1842	1151	1920	1112	2405	1817
LOC124906092	37	50	33	19	38	29	22	31	22	11	28	34	50	28	12	21	29	46	34	53	31	45	17	39	39
LOC107983995	4	3	1	0	6	0	0	0	1	1	3	0	1	4	2	1	8	2	3	8	1	1	0	10	3
LOC105373737	10	2	11	5	14	2	15	14	6	7	15	15	17	19	22	3	27	6	21	21	16	19	3	29	10
METTL8	500	560	531	338	439	421	289	492	450	212	376	668	735	685	457	423	469	664	403	360	343	409	390	793	498
DCAF17	787	1146	1129	754	1221	729	1196	1236	804	777	1071	889	1186	1156	1033	705	1539	1176	1136	1162	1225	1451	585	1711	1041
CYBRD1	223	287	188	966	732	571	738	489	585	1154	589	965	1313	1028	777	858	484	1580	455	293	422	887	1444	730	325
DYNC1I2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
SLC25A12	0	2	3	0	0	2	0	1	2	1	0	1	2	2	3	1	0	0	1	3	0	0	0	1	2
LOC105373739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAT1	16	8	10	4	0	10	2	5	5	0	3	9	7	10	1	4	3	2	2	3	1	0	1	1	6
LOC124905590	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METAP1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX2	231	155	296	179	288	128	611	63	48	187	173	35	208	136	35	126	210	657	9	9	12	17	34	16	337
DLX2-DT	0	2	0	0	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0
LOC105373741	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107985960	1	0	0	3	0	0	0	0	0	0	0	2	0	2	0	0	1	2	0	0	0	0	0	2	0
LOC105373742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ITGA6	2584	2255	2055	4982	3808	2349	3699	2743	2717	3681	3060	3926	2727	4419	2001	1947	2558	2826	1876	1419	1230	2219	2031	2687	1755
ITGA6-AS1	0	3	1	0	9	0	4	1	1	5	6	1	4	0	0	3	9	1	3	3	1	5	0	5	5
PDK1-AS1	27	41	26	62	73	15	72	36	21	92	50	16	47	51	60	25	51	25	19	19	28	30	16	31	28
PDK1	388	817	574	704	1049	315	680	1158	364	490	823	380	844	757	1013	396	1650	650	561	913	617	662	437	1004	1299
LOC124906146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPGEF4-AS1	0	14	13	2	3	0	1	3	1	1	2	0	5	4	2	3	3	2	0	4	0	1	0	6	3
RAPGEF4	23	358	561	94	161	31	93	216	45	53	135	19	241	120	100	185	334	200	115	101	73	79	44	225	149
MAP3K20	959	763	818	832	855	1633	554	747	1452	623	678	2758	1105	968	706	856	691	1838	546	617	380	699	1319	862	678
MAP3K20-AS1	8	7	4	7	20	9	13	10	7	16	7	13	6	9	12	9	33	17	14	17	11	21	4	17	7
LOC105373743	0	1	0	0	0	0	0	2	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0
CDCA7	1627	3810	2836	529	931	1218	405	2064	2138	283	1066	812	1116	1334	915	557	1357	1063	1255	759	547	1322	292	1310	2530
LOC105373744	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LOC105373745	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SP3	2664	3927	3548	2744	2996	2733	3189	3498	2773	2559	2743	3221	3918	3235	2868	2268	3879	3547	2992	2675	2125	3093	1791	3845	3362
LINC01960	0	0	2	1	2	2	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	1	4	0	0
LOC105373746	0	1	2	0	0	0	0	0	0	0	1	3	0	2	0	1	0	1	0	0	0	0	0	0	0
OLA1	2545	3368	3014	2134	2532	2823	2423	2697	2943	1781	2201	3063	2414	2488	3209	2056	3688	3689	2581	2669	2450	2407	1950	3422	2882
LOC124907906	70	82	69	33	70	79	54	75	58	50	45	67	86	74	67	51	49	116	58	111	78	66	25	89	85
LINC01305	11	16	44	8	26	3	27	11	2	10	7	2	6	6	0	15	1	19	0	0	2	0	0	1	0
LOC102724194	0	2	0	1	4	0	2	2	0	0	1	0	1	1	0	5	0	6	0	0	0	0	0	0	0
SP9	195	182	447	211	433	80	529	104	40	103	176	3	44	163	11	687	18	1123	39	3	7	36	1	7	9
CIR1	360	600	579	655	516	414	581	503	342	591	495	649	745	617	724	423	680	676	524	544	743	807	455	743	569
SCRN3	651	776	813	503	763	576	602	752	522	418	559	468	808	877	795	653	725	1219	730	795	773	782	511	1016	1016
GPR155	169	272	391	206	298	148	204	300	70	92	223	167	440	328	803	493	653	734	646	770	636	799	278	1250	622
GPR155-DT	16	12	9	24	30	22	36	19	26	35	17	12	15	23	48	8	46	21	35	58	65	54	10	63	19
LOC124906097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LOC124906096	1	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WIPF1	637	465	422	456	636	624	679	428	660	676	507	804	914	525	434	679	456	1283	311	180	263	525	844	454	276
LOC124907907	13	7	6	6	7	16	12	3	8	9	6	17	9	8	9	12	2	26	7	15	8	6	6	13	10
H3P6	2034	3813	2980	2717	2746	1705	2492	2809	1846	1963	2271	1939	2847	2741	1527	1690	2249	2797	1689	1584	932	1556	1153	2119	2767
CHRNA1	29	16	7	8	27	5	17	15	17	20	8	1	1	10	0	2	3	2	0	0	0	3	8	1	2
LOC124907908	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CHN1	1994	1262	1142	2166	1614	1524	1788	1108	1789	1395	1204	986	1295	1542	796	1781	772	2851	712	689	564	1097	866	1087	710
ATF2	1801	2102	2577	1863	2793	1520	2578	2744	1590	1893	2107	1733	2126	2405	3080	2007	3750	2740	2666	2793	2958	3200	1240	3983	2777
MIR933	2	0	0	1	0	2	0	0	1	0	2	1	1	0	0	0	2	3	0	0	2	0	0	0	0
ATP5MC3	3330	2877	2188	3063	2388	3014	2433	2011	3329	2257	1797	3773	3156	2437	1807	2341	1999	3630	1682	1478	1415	1964	2710	2235	1888
