"Description","Description_Short","Database","Timepoint","NES","p.adjust","pvalue","setSize","Pathway","HighlySig"
"GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT","Mitochondrial Small Ribosomal Subunit","GOCC","Early",-1.82449562027578,0.0122143879075911,0.00249610536751168,29,"Mitochondrial Small Ribosomal Subunit",TRUE
"GOCC_CYTOSOLIC_RIBOSOME","Cytosolic Ribosome","GOCC","Early",1.58952880835394,0.0137746204499192,0.00294385827797317,103,"Cytosolic Ribosome",TRUE
"GOCC_MITOCHONDRIAL_MATRIX","Mitochondrial Matrix","GOCC","Early",-1.3521880446124,0.0198584662962038,0.00497253462281339,476,"Mitochondrial Matrix",TRUE
"GOCC_CYTOSOLIC_RIBOSOME","Cytosolic Ribosome","GOCC","TrajDev",-2.56313811995371,6.46834611734456e-10,1.44428780929544e-11,103,"Cytosolic Ribosome",TRUE
"GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","Cytosolic Large Ribosomal Subunit","GOCC","TrajDev",-2.70920651165073,2.45836938479812e-09,6.27335090219615e-11,51,"Cytosolic Large Ribosomal Subunit",TRUE
"GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX","Small Nuclear Ribonucleoprotein Complex","GOCC","TrajDev",2.40103071446328,9.31467843143718e-08,3.41686768617313e-09,74,"Small Nuclear Ribonucleoprotein Complex",TRUE
"GOCC_LARGE_RIBOSOMAL_SUBUNIT","Large Ribosomal Subunit","GOCC","TrajDev",-1.86099890208024,0.000444778951589325,3.68875685528627e-05,106,"Large Ribosomal Subunit",TRUE
"GOCC_ORGANELLAR_RIBOSOME","Organellar Ribosome","GOCC","TrajDev",1.95507128286369,0.000444778951589325,3.62982096640645e-05,82,"Organellar Ribosome",TRUE
"GOCC_RIBOSOMAL_SUBUNIT","Ribosomal Subunit","GOCC","TrajDev",-1.76988443551027,0.000508248201968722,4.45831756112914e-05,168,"Ribosomal Subunit",TRUE
"GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX","Mitochondrial Protein Containing Complex","GOCC","TrajDev",1.74130516652977,0.00100679122713486,9.47379304640457e-05,165,"Mitochondrial Protein Containing Complex",TRUE
"GOCC_90S_PRERIBOSOME","90s Preribosome","GOCC","TrajDev",2.0701198546776,0.00114429997644814,0.000111327429925576,24,"90s Preribosome",TRUE
"GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT","Cytosolic Small Ribosomal Subunit","GOCC","TrajDev",-2.0312640238135,0.00125496268149028,0.000126096728762181,35,"Cytosolic Small Ribosomal Subunit",TRUE
"GOCC_RIBOSOME","Ribosome","GOCC","TrajDev",-1.60775990312041,0.00224976577125641,0.000261934451836871,208,"Ribosome",TRUE
"GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT","Mitochondrial Small Ribosomal Subunit","GOCC","TrajDev",1.85708379516772,0.00953040277248081,0.00158080045986922,29,"Mitochondrial Small Ribosomal Subunit",TRUE
"GOCC_MITOCHONDRIAL_MATRIX","Mitochondrial Matrix","GOCC","TrajDev",1.3078302110706,0.0339665362894496,0.00834265803600516,476,"Mitochondrial Matrix",TRUE
"GOCC_RIBOSOME","Ribosome","GOCC","Late",-2.27425631738492,5.17688789901775e-08,8.25659951996452e-11,208,"Ribosome",TRUE
"GOCC_CYTOSOLIC_RIBOSOME","Cytosolic Ribosome","GOCC","Late",-2.42770666970211,2.80034862757144e-07,1.33987972611074e-09,103,"Cytosolic Ribosome",TRUE
"GOCC_RIBOSOMAL_SUBUNIT","Ribosomal Subunit","GOCC","Late",-2.27643490483138,2.80034862757144e-07,1.32821813206228e-09,168,"Ribosomal Subunit",TRUE
"GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT","Cytosolic Large Ribosomal Subunit","GOCC","Late",-2.45043575786474,8.93258464836198e-06,5.69861859544624e-08,51,"Cytosolic Large Ribosomal Subunit",TRUE
"GOCC_LARGE_RIBOSOMAL_SUBUNIT","Large Ribosomal Subunit","GOCC","Late",-2.23534367060169,1.75831298073345e-05,1.40216346150993e-07,106,"Large Ribosomal Subunit",TRUE
"GOMF_RIBOSOME_BINDING","Ribosome Binding","GOMF","Early",-1.54324724677037,0.0489383074587342,0.00663358065942706,100,"Ribosome Binding",TRUE
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","Structural Constituent of Ribosome","GOMF","TrajDev",-1.95011867323544,8.11318740941284e-05,1.19666584588252e-06,144,"Structural Constituent of Ribosome",TRUE
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","Structural Constituent of Ribosome","GOMF","Late",-2.4036512356852,4.16366453104855e-08,4.06211173760834e-11,144,"Structural Constituent of Ribosome",TRUE
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Reference Translation Initiation","KEGG","Time_Ctrl",2.46668159707855,1.84007838614821e-07,5.1833193976006e-09,74,"Reference Translation Initiation",TRUE
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Reference Translation Initiation","KEGG","Early",2.40990038543209,8.14384854743161e-07,2.06463765991224e-08,74,"Reference Translation Initiation",TRUE
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Reference Translation Initiation","KEGG","TrajDev",-3.11445719160063,9.55464473761585e-17,2.69144922186362e-19,74,"Reference Translation Initiation",TRUE
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","Reference Translation Initiation","KEGG","Late",-2.57157096521193,2.80051297359341e-07,7.88876893969975e-10,74,"Reference Translation Initiation",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Eukaryotic Translation Elongation","REACTOME","Time_Ctrl",2.47208855740934,3.3263651846839e-08,2.18332849959947e-09,83,"Eukaryotic Translation Elongation",TRUE
"REACTOME_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","REACTOME","Time_Ctrl",-2.17501191633739,1.45438107685872e-06,1.25784309349944e-07,89,"Mitochondrial Translation",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Eukaryotic Translation Initiation","REACTOME","Time_Ctrl",1.99991946862433,4.54844082551105e-05,4.81186403934373e-06,109,"Eukaryotic Translation Initiation",TRUE
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Srp Dependent Cotranslational Protein Targeting to Membrane","REACTOME","Time_Ctrl",1.97558821942866,5.12616999806857e-05,5.50222107900796e-06,103,"Srp Dependent Cotranslational Protein Targeting to Membrane",TRUE
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","Mitochondrial Protein Import","REACTOME","Time_Ctrl",-1.80249008364117,0.00533926676818374,0.000952409747838181,55,"Mitochondrial Protein Import",TRUE
"REACTOME_MITOCHONDRIAL_BIOGENESIS","Mitochondrial Biogenesis","REACTOME","Time_Ctrl",-1.59537619805589,0.0188599756695091,0.00429628789382639,90,"Mitochondrial Biogenesis",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Eukaryotic Translation Elongation","REACTOME","Early",2.30719427012188,9.24128686720077e-07,5.32250015476481e-08,83,"Eukaryotic Translation Elongation",TRUE
"REACTOME_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","REACTOME","Early",-2.05772185076724,5.47471573103406e-05,5.48101212146348e-06,89,"Mitochondrial Translation",TRUE
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Srp Dependent Cotranslational Protein Targeting to Membrane","REACTOME","Early",1.89878998828407,0.000228175755146476,2.78392041028133e-05,103,"Srp Dependent Cotranslational Protein Targeting to Membrane",TRUE
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","Mitochondrial Protein Import","REACTOME","Early",-1.93810888253379,0.000939983969559784,0.000136460993264277,55,"Mitochondrial Protein Import",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Eukaryotic Translation Initiation","REACTOME","Early",1.72348078651802,0.0025986297244863,0.000415379423141826,109,"Eukaryotic Translation Initiation",TRUE
"REACTOME_MITOCHONDRIAL_BIOGENESIS","Mitochondrial Biogenesis","REACTOME","Early",-1.76466838891466,0.00293831977400405,0.000478753260474791,90,"Mitochondrial Biogenesis",TRUE
"REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS","Transcriptional Activation of Mitochondrial Biogenesis","REACTOME","Early",-1.70184087764327,0.0176286005906226,0.00405662005869152,52,"Transcriptional Activation of Mitochondrial Biogenesis",TRUE
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS","Elevation of Cytosolic Ca2 Levels","REACTOME","Early",1.7789743463362,0.0337285326960082,0.0088032772596531,13,"Elevation of Cytosolic Ca2 Levels",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Eukaryotic Translation Elongation","REACTOME","TrajDev",-3.05611316828534,3.18033351417135e-16,1.71909919684938e-18,83,"Eukaryotic Translation Elongation",TRUE
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Srp Dependent Cotranslational Protein Targeting to Membrane","REACTOME","TrajDev",-2.83474914914389,1.78170229461243e-14,1.92616464282425e-16,103,"Srp Dependent Cotranslational Protein Targeting to Membrane",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Eukaryotic Translation Initiation","REACTOME","TrajDev",-2.67596918795905,9.2427110286701e-13,1.26538012132896e-14,109,"Eukaryotic Translation Initiation",TRUE
"REACTOME_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation","REACTOME","TrajDev",1.90833133422852,0.00095034909480021,8.6782945787102e-05,89,"Mitochondrial Translation",TRUE
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT","Mitochondrial Protein Import","REACTOME","TrajDev",1.77484466588744,0.00922010053113475,0.00115340253748558,55,"Mitochondrial Protein Import",TRUE
"REACTOME_TRANSLATION","Translation","REACTOME","TrajDev",-1.43770695060933,0.0148374023661278,0.00206234164162395,270,"Translation",TRUE
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Srp Dependent Cotranslational Protein Targeting to Membrane","REACTOME","Late",-2.56964090189,9.88944370172903e-09,7.63663606311122e-12,103,"Srp Dependent Cotranslational Protein Targeting to Membrane",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Eukaryotic Translation Elongation","REACTOME","Late",-2.57115889008888,7.78880792498952e-08,1.20290469884008e-10,83,"Eukaryotic Translation Elongation",TRUE
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","Eukaryotic Translation Initiation","REACTOME","Late",-2.43023566845821,1.64211640942487e-07,3.80413067820434e-10,109,"Eukaryotic Translation Initiation",TRUE
"REACTOME_TRANSLATION","Translation","REACTOME","Late",-1.96441090124782,6.20898224717157e-06,3.19951360525935e-08,270,"Translation",TRUE
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","Cytoplasmic Ribosomal Proteins","WIKI","Time_Ctrl",2.23977121226507,5.68938679201728e-06,1.77289673405638e-07,80,"Cytoplasmic Ribosomal Proteins",TRUE
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","Electron Transport Chain OXPHOS System in Mitochondria","WIKI","Time_Ctrl",-1.63953564868821,0.036887693716236,0.00313493147730051,80,"Electron Transport Chain OXPHOS System in Mitochondria",TRUE
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","Cytoplasmic Ribosomal Proteins","WIKI","Early",2.27526427933074,5.05156446724355e-06,8.58622855622133e-08,80,"Cytoplasmic Ribosomal Proteins",TRUE
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","Electron Transport Chain OXPHOS System in Mitochondria","WIKI","Early",-1.67701686162891,0.03935318231569,0.00250834731473945,80,"Electron Transport Chain OXPHOS System in Mitochondria",TRUE
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","Cytoplasmic Ribosomal Proteins","WIKI","TrajDev",-2.97032918545351,1.19120436780325e-13,1.68725831133605e-16,80,"Cytoplasmic Ribosomal Proteins",TRUE
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","Cytoplasmic Ribosomal Proteins","WIKI","Late",-2.46321290751121,3.91642664060038e-06,5.54734651643113e-09,80,"Cytoplasmic Ribosomal Proteins",TRUE
